"","Site.name","Forest.Type","NDVI","Site.Age","Dec.NDVI","WS.NDVI","BS.NDVI","Frac.dec","LAI","LAI.corrected"
"1",1,"Deciduous",0.70363,196,NA,0.70363,NA,0.588531821045999,1.79,1.79
"2",1.1,"Black spruce",0.62381,83,NA,NA,0.62381,0.170817462642836,0.71,1.00583333333333
"3",1.2,"White spruce",0.6582,93,NA,0.6582,NA,0.464406779661017,1.86,2.635
"4",1.3,"White spruce",0.62658,158,NA,0.62658,NA,0.351584213451918,0.6,0.85
"5",2,"Deciduous",0.84675,35,0.84675,NA,NA,0.871968616262482,4.24,4.24
"6",2.1,"Deciduous",0.70113,140,NA,NA,0.70113,0.596122778675283,1.03,1.03
"7",2.2,"White spruce",0.79225,170,NA,0.79225,NA,0.20625,1,1.41666666666667
"8",3,"Deciduous",0.80335,185,0.80335,NA,NA,0.630508474576271,2.71,2.71
"9",3.1,"Deciduous",0.72137,128,NA,NA,0.72137,0.619545503040649,0.58,0.58
"10",3.2,"Deciduous",0.71609,174,NA,NA,0.71609,0.631122604198357,0.54,0.54
"11",3.3,"Deciduous",0.73776,60,NA,NA,0.73776,0.565663036515054,0.69,0.69
"12",4,"Deciduous",0.81206,85,0.81206,NA,NA,0.572754945066934,3.27,3.27
"13",4.1,"Deciduous",0.81991,48,0.81991,NA,NA,0.911380597014925,2.07,2.07
"14",4.2,"Deciduous",0.80988,60,0.80988,NA,NA,0.820765890248717,1.4,1.4
"15",4.3,"Deciduous",0.82545,71,0.82545,NA,NA,0.751662260674517,1.54,1.54
"16",4.4,"Deciduous",0.82967,58,0.82967,NA,NA,0.718685831622177,1.87,1.87
"17",5.5,"Black spruce",0.63534,85,NA,NA,0.63534,0.172286940527284,0.75,1.0625
"18",5.6,"Black spruce",0.61289,92,NA,NA,0.61289,0.0432098765432099,1.34,1.89833333333333
"19",6,"White spruce",0.72128,52,NA,0.72128,NA,0.474260679079956,2.18,3.08833333333333
"20",6.1,"Deciduous",0.79188,77,0.79188,NA,NA,0.880850252597465,4.74,4.74
"21",6.2,"Deciduous",0.79856,90,0.79856,NA,NA,0.74344536336442,4.05,4.05
"22",6.3,"Deciduous",0.79476,87,0.79476,NA,NA,0.726807888970051,4.14,4.14
"23",6.4,"Deciduous",0.8438,89,0.8438,NA,NA,0.622017821212992,3.72,3.72
"24",7,"White spruce",0.62773,177,NA,0.62773,NA,0.337706788362807,NA,NA
"25",7.1,"Deciduous",0.85649,85,0.85649,NA,NA,0.765135699373695,2.5,2.5
"26",7.2,"Deciduous",0.77327,80,0.77327,NA,NA,0.584574123739943,1.91,1.91
"27",7.5,"Black spruce",0.65441,102,NA,NA,0.65441,0,NA,NA
"28",7.6,"Black spruce",0.65441,114,NA,NA,0.65441,0,1.6,2.26666666666667
"29",9,"Black spruce",0.64108,76,NA,NA,0.64108,0.074954954954955,1.74,2.465
"30",9.2,"Deciduous",0.83333,73,0.83333,NA,NA,0.436161670235546,2.93,2.93
"31",9.3,"Deciduous",0.81197,78,0.81197,NA,NA,0.647960240215365,2.73,2.73
"32",9.4,"Black spruce",0.78788,122,0.78788,NA,NA,0.32011587905124,1.79,2.53583333333333
"33",9.5,"Deciduous",0.791,67,0.791,NA,NA,0.832894940430141,2.19,2.19
"34",9.6,"Deciduous",0.81698,114,0.81698,NA,NA,0.898758357211079,2.44,2.44
"35",11,"Black spruce",0.68079,201,NA,NA,0.68079,0.114130434782609,0.97,1.37416666666667
"36",11.1,"Deciduous",0.77144,80,0.77144,NA,NA,0.503429131286741,0.82,0.82
"37",11.2,"Deciduous",0.76251,99,0.76251,NA,NA,0.637326898866974,2.27,2.27
