"","Site","Site.Age","Forest.Type","Canopy","variable","value"
"1",1,196,"D","Upper canopy","White spruce",21.7
"2",1.1,83,"BS","Upper canopy","White spruce",NA
"3",1.2,93,"WS","Upper canopy","White spruce",NA
"4",1.3,158,"WS","Upper canopy","White spruce",9.16
"5",2,35,"D","Upper canopy","White spruce",NA
"6",2.1,140,"D","Upper canopy","White spruce",NA
"7",2.2,170,"WS","Upper canopy","White spruce",18.3
"8",3,185,"D","Upper canopy","White spruce",19
"9",3.1,128,"D","Upper canopy","White spruce",NA
"10",3.2,174,"D","Upper canopy","White spruce",NA
"11",3.3,60,"D","Upper canopy","White spruce",NA
"12",4,85,"D","Upper canopy","White spruce",24
"13",4.1,48,"D","Upper canopy","White spruce",NA
"14",4.2,60,"D","Upper canopy","White spruce",NA
"15",4.3,71,"D","Upper canopy","White spruce",NA
"16",4.4,58,"D","Upper canopy","White spruce",NA
"17",5,5,"recent fire","Upper canopy","White spruce",NA
"18",5.5,85,"BS","Upper canopy","White spruce",NA
"19",5.6,92,"BS","Upper canopy","White spruce",NA
"20",6,52,"WS","Upper canopy","White spruce",24
"21",6.1,77,"D","Upper canopy","White spruce",6.25
"22",6.2,90,"D","Upper canopy","White spruce",5
"23",6.3,87,"D","Upper canopy","White spruce",3.3
"24",6.4,89,"D","Upper canopy","White spruce",NA
"25",7,177,"WS","Upper canopy","White spruce",25.67
"26",7.1,85,"D","Upper canopy","White spruce",NA
"27",7.2,80,"D","Upper canopy","White spruce",3.3
"28",7.5,102,"BS","Upper canopy","White spruce",NA
"29",7.6,114,"BS","Upper canopy","White spruce",NA
"30",8,19,"Early recovery","Upper canopy","White spruce",NA
"31",9,76,"BS","Upper canopy","White spruce",3
"32",9.2,73,"D","Upper canopy","White spruce",16.6
"33",9.3,78,"D","Upper canopy","White spruce",NA
"34",9.4,122,"BS","Upper canopy","White spruce",NA
"35",9.5,67,"D","Upper canopy","White spruce",NA
"36",9.6,114,"D","Upper canopy","White spruce",NA
"37",10,32,"Early recovery","Upper canopy","White spruce",12
"38",11,199,"BS","Upper canopy","White spruce",NA
"39",11.1,80,"D","Upper canopy","White spruce",2.5
"40",11.2,99,"D","Upper canopy","White spruce",6.67
"41",11.3,45,"D","Upper canopy","White spruce",NA
"42",11.4,54,"D","Upper canopy","White spruce",7.9
"43",12,60,"D","Upper canopy","White spruce",2
"44",13,76,"D","Upper canopy","White spruce",NA
"45",13.1,85,"D","Upper canopy","White spruce",NA
"46",13.2,85,"D","Upper canopy","White spruce",NA
"47",14,15,"Early recovery","Upper canopy","White spruce",1.1
"48",14.1,87,"BS","Upper canopy","White spruce",NA
"49",14.2,134,"BS","Upper canopy","White spruce",NA
"50",14.3,65,"BS","Upper canopy","White spruce",NA
"51",14.4,136,"BS","Upper canopy","White spruce",NA
"52",14.5,134,"WS","Upper canopy","White spruce",34
"53",14.6,81,"BS","Upper canopy","White spruce",NA
"54",15,47,"D","Upper canopy","White spruce",3.67
"55",15.1,78,"BS","Upper canopy","White spruce",NA
"56",15.2,83,"BS","Upper canopy","White spruce",NA
"57",15.3,85,"BS","Upper canopy","White spruce",NA
"58",15.4,75,"BS","Upper canopy","White spruce",NA
"59",15.5,80,"BS","Upper canopy","White spruce",NA
"60",15.6,83,"BS","Upper canopy","White spruce",NA
"61",16,3,"recent fire","Upper canopy","White spruce",NA
"62",16.1,118,"D","Upper canopy","White spruce",17.16
"63",16.2,100,"D","Upper canopy","White spruce",NA
"64",16.3,106,"D","Upper canopy","White spruce",14.16
"65",16.4,68,"D","Upper canopy","White spruce",NA
"66",16.5,138,"D","Upper canopy","White spruce",16.667
"67",16.6,68,"D","Upper canopy","White spruce",6.67
"68",17,16,"Early recovery","Upper canopy","White spruce",NA
"69",17.1,176,"D","Upper canopy","White spruce",NA
"70",17.2,69,"D","Upper canopy","White spruce",5.5
"71",17.3,118,"D","Upper canopy","White spruce",5.58
"72",17.4,136,"D","Upper canopy","White spruce",2.5
"73",17.5,148,"D","Upper canopy","White spruce",6.91
"74",17.6,72,"D","Upper canopy","White spruce",3
"75",18,8,"recent fire","Upper canopy","White spruce",NA
"76",18.1,125,"BS","Upper canopy","White spruce",NA
"77",18.2,175,"D","Upper canopy","White spruce",NA
"78",19,60,"D","Upper canopy","White spruce",6
"79",20,14,"Early recovery","Upper canopy","White spruce",5
"80",20.1,75,"BS","Upper canopy","White spruce",NA
"81",20.2,63,"BS","Upper canopy","White spruce",NA
"82",20.3,73,"BS","Upper canopy","White spruce",NA
"83",21.1,73,"BS","Upper canopy","White spruce",NA
"84",21.2,106,"BS","Upper canopy","White spruce",5
"85",22.1,60,"D","Upper canopy","White spruce",11.6
"86",22.2,70,"WS","Upper canopy","White spruce",28.3
"87",22.3,50,"D","Upper canopy","White spruce",NA
"88",23.2,83,"D","Upper canopy","White spruce",19.16
"89",23.3,76,"D","Upper canopy","White spruce",NA
"90",24.1,83,"WS","Upper canopy","White spruce",NA
"91",24.2,142,"D","Upper canopy","White spruce",19.16
"92",24.3,134,"WS","Upper canopy","White spruce",17.5
"93",25.1,75,"WS","Upper canopy","White spruce",33.3
"94",25.2,94,"D","Upper canopy","White spruce",2.5
"95",25.3,140,"WS","Upper canopy","White spruce",15
"96",27.1,84,"BS","Upper canopy","White spruce",NA
"97",27.2,66,"BS","Upper canopy","White spruce",NA
"98",27.3,85,"BS","Upper canopy","White spruce",NA
"99",29.1,65,"WS","Upper canopy","White spruce",3
"100",29.2,52,"D","Upper canopy","White spruce",NA
"101",29.3,52,"WS","Upper canopy","White spruce",35.83
"102",29.4,105,"WS","Upper canopy","White spruce",17.5
"103",1,196,"D","Lower canopy","White spruce",4.42
"104",1.1,83,"BS","Lower canopy","White spruce",NA
"105",1.2,93,"WS","Lower canopy","White spruce",31.6
"106",1.3,158,"WS","Lower canopy","White spruce",37.5
"107",2,35,"D","Lower canopy","White spruce",7.18
"108",2.1,140,"D","Lower canopy","White spruce",NA
"109",2.2,170,"WS","Lower canopy","White spruce",32.5
"110",3,185,"D","Lower canopy","White spruce",6.5
"111",3.1,128,"D","Lower canopy","White spruce",NA
"112",3.2,174,"D","Lower canopy","White spruce",NA
"113",3.3,60,"D","Lower canopy","White spruce",NA
"114",4,85,"D","Lower canopy","White spruce",15.16
"115",4.1,48,"D","Lower canopy","White spruce",2.5
"116",4.2,60,"D","Lower canopy","White spruce",NA
"117",4.3,71,"D","Lower canopy","White spruce",NA
"118",4.4,58,"D","Lower canopy","White spruce",NA
"119",5,5,"recent fire","Lower canopy","White spruce",NA
"120",5.5,85,"BS","Lower canopy","White spruce",NA
"121",5.6,92,"BS","Lower canopy","White spruce",NA
"122",6,52,"WS","Lower canopy","White spruce",NA
"123",6.1,77,"D","Lower canopy","White spruce",NA
"124",6.2,90,"D","Lower canopy","White spruce",24.16
"125",6.3,87,"D","Lower canopy","White spruce",NA
"126",6.4,89,"D","Lower canopy","White spruce",26.3
"127",7,177,"WS","Lower canopy","White spruce",9.16
"128",7.1,85,"D","Lower canopy","White spruce",22.5
"129",7.2,80,"D","Lower canopy","White spruce",NA
"130",7.5,102,"BS","Lower canopy","White spruce",NA
"131",7.6,114,"BS","Lower canopy","White spruce",NA
"132",8,19,"Early recovery","Lower canopy","White spruce",6.83
"133",9,76,"BS","Lower canopy","White spruce",NA
"134",9.2,73,"D","Lower canopy","White spruce",13.3
"135",9.3,78,"D","Lower canopy","White spruce",8
"136",9.4,122,"BS","Lower canopy","White spruce",3.3
"137",9.5,67,"D","Lower canopy","White spruce",NA
"138",9.6,114,"D","Lower canopy","White spruce",5.3
"139",10,32,"Early recovery","Lower canopy","White spruce",NA
"140",11,199,"BS","Lower canopy","White spruce",NA
"141",11.1,80,"D","Lower canopy","White spruce",NA
"142",11.2,99,"D","Lower canopy","White spruce",27.9
